Time_ms,Angle,PWM_us,Thrust_g,Voltage_V,Current_A,Power_W,Temp_C
5214,105,1000,0.01,13.05,-0.36,-4.74,50.79
5365,105,1583,-54.71,13.05,-0.36,-4.65,50.79
5637,105,1583,80.66,13.04,-0.34,-4.46,50.79
5907,105,1583,99.49,13.04,-0.31,-4.01,50.79
6177,105,1583,94.75,13.03,-0.30,-3.88,50.79
6449,105,1583,94.18,13.03,-0.27,-3.49,50.79
6719,105,1583,93.71,13.03,-0.25,-3.22,50.78
6989,105,1583,94.18,13.03,-0.18,-2.31,50.77
7261,105,1583,94.07,13.02,-0.14,-1.78,50.77
7531,105,1583,94.25,13.02,-0.14,-1.89,50.76
7801,105,1583,92.69,13.02,-0.09,-1.11,50.75
8073,105,1583,93.33,13.02,-0.03,-0.41,50.74
8343,105,1583,91.32,13.01,-0.06,-0.75,50.72
8613,105,1583,114.53,13.01,-0.06,-0.76,50.70
8885,105,1583,90.50,13.01,-0.05,-0.68,50.68
9155,105,1583,93.42,13.01,-0.04,-0.50,50.66
9425,105,1583,90.79,13.01,-0.06,-0.83,50.65
9697,105,1583,90.42,13.01,-0.09,-1.22,50.65
9967,105,1583,91.01,13.01,-0.05,-0.70,50.64
10237,105,1583,91.94,13.01,-0.03,-0.33,50.63
10509,105,1583,89.87,13.01,-0.05,-0.68,50.61
10779,105,1583,91.49,13.01,-0.08,-0.99,50.61
11051,105,1583,91.29,13.01,-0.08,-1.07,50.58
11321,105,1583,90.10,13.01,-0.04,-0.57,50.58
11591,105,1583,91.65,13.01,-0.05,-0.70,50.56
11863,105,1583,89.90,13.01,0.01,0.15,50.54
12133,105,1583,90.34,13.01,-0.01,-0.14,50.52
12403,105,1583,93.36,13.01,0.01,0.07,50.51
12674,105,1583,91.59,13.01,0.01,0.07,50.50
12945,105,1583,119.98,12.94,0.79,10.23,50.49
13215,105,1583,88.13,12.95,0.70,9.13,50.46
13487,105,1583,91.71,12.95,0.68,8.80,50.45
13757,105,1583,92.98,12.96,0.59,7.65,50.45
14027,105,1583,92.26,12.96,0.55,7.09,50.43
14299,105,1583,92.01,12.97,0.49,6.39,50.41
14569,105,1583,91.14,12.97,0.41,5.37,50.39
14839,105,1583,88.64,12.97,0.36,4.65,50.38
15111,105,1583,91.54,12.98,0.37,4.78,50.36
15381,105,1583,90.95,12.98,0.33,4.31,50.34
15651,105,1583,90.81,12.98,0.28,3.69,50.28
15923,105,1583,91.38,12.99,0.29,3.72,50.27
16193,105,1583,90.83,12.99,0.26,3.36,50.26
16463,105,1583,91.87,12.99,0.22,2.84,50.24
16735,105,1583,90.53,12.99,0.19,2.47,50.24
17005,105,1583,93.60,12.99,0.14,1.84,50.23
17275,105,1583,114.38,13.00,0.11,1.38,50.22
17547,105,1583,90.99,13.00,0.13,1.73,50.21
17817,105,1583,90.90,13.00,0.09,1.18,50.20
18087,105,1583,90.01,13.00,0.05,0.69,50.17
18359,105,1583,90.15,13.00,0.01,0.15,50.25
18629,105,1583,91.68,13.00,-0.01,-0.15,50.24
18900,105,1583,91.09,13.00,0.01,0.07,50.20
19171,105,1583,91.84,13.00,-0.02,-0.32,50.19
19441,105,1583,91.39,13.00,-0.01,-0.08,50.18
19713,105,1583,92.13,13.00,-0.03,-0.45,50.16
19983,105,1583,91.37,13.00,-0.00,-0.01,50.14
20253,105,1583,92.35,13.00,-0.04,-0.48,50.12
20525,105,1583,91.43,13.00,-0.04,-0.52,50.11
20795,105,1583,92.46,13.00,-0.05,-0.65,50.09
21066,105,1583,90.35,13.00,-0.05,-0.68,50.08
21337,105,1583,112.92,13.00,-0.01,-0.12,50.07
21607,105,1583,89.55,13.00,-0.04,-0.58,50.06
21878,105,1583,90.37,13.00,-0.00,-0.03,50.04
22149,105,1583,89.61,13.00,0.01,0.17,50.03
22419,105,1583,90.04,13.00,-0.00,-0.03,50.01
22690,105,1583,89.81,13.00,-0.02,-0.21,50.00
22961,105,1583,90.97,13.00,-0.05,-0.66,49.99
23231,105,1583,88.61,13.00,-0.03,-0.39,49.99
23502,105,1583,89.61,13.00,-0.05,-0.63,49.99
23773,105,1583,91.69,13.00,-0.08,-1.04,49.97
24043,105,1583,91.01,13.00,-0.07,-0.93,49.96
24314,105,1583,92.14,13.00,-0.03,-0.35,49.95
24585,105,1583,89.54,13.00,-0.00,-0.01,49.94
24855,105,1583,89.86,13.00,0.04,0.48,49.93
25126,105,1583,91.20,13.00,0.00,0.05,49.92
25397,105,1583,91.12,13.00,-0.02,-0.23,49.90
25667,105,1583,95.40,13.00,0.08,1.05,49.88
25938,105,1583,91.25,13.00,0.05,0.67,49.87
26209,105,1583,91.39,13.00,0.04,0.51,49.87
26479,105,1583,90.24,13.00,0.04,0.57,49.87
26750,105,1583,90.01,13.00,0.06,0.81,49.86
27021,105,1583,90.58,13.00,0.06,0.83,49.86
27291,105,1583,92.72,13.00,0.01,0.18,49.86
27563,105,1583,92.11,13.00,0.03,0.36,49.84
27833,105,1583,90.93,13.00,0.06,0.72,49.83
28103,105,1583,89.98,13.00,0.10,1.33,49.81
28375,105,1583,90.97,13.00,0.14,1.78,49.80
28645,105,1583,91.99,13.00,0.10,1.33,49.79
28915,105,1583,91.19,13.00,0.10,1.30,49.78
29187,105,1583,89.80,13.00,0.12,1.56,49.78
29457,105,1583,89.18,13.00,0.12,1.61,49.77
29727,105,1583,91.42,13.00,0.16,2.03,49.76
29998,105,1583,97.00,13.00,0.17,2.22,49.75
30269,105,1583,91.95,13.00,0.13,1.72,49.75
30539,105,1583,92.32,13.00,0.10,1.27,49.73
30811,105,1583,91.08,13.00,0.07,0.96,49.73
31081,105,1583,91.25,13.00,0.03,0.39,49.71
31351,105,1583,92.13,13.00,0.04,0.55,49.71
31623,105,1583,91.23,13.00,0.02,0.22,49.71
31893,105,1583,91.50,13.00,0.03,0.40,49.71
32163,105,1583,90.45,13.00,-0.00,-0.02,49.69
32435,105,1583,91.78,13.00,-0.02,-0.20,49.68
32705,105,1583,91.80,13.00,0.00,0.02,49.67
32975,105,1583,90.05,13.00,-0.04,-0.55,49.66
33247,105,1583,89.48,13.00,-0.05,-0.68,49.65
33517,105,1583,89.42,13.00,-0.05,-0.70,49.63
33787,105,1583,89.86,13.00,-0.07,-0.91,49.62
34059,105,1583,91.88,13.00,-0.05,-0.71,49.61
34329,105,1583,120.57,12.94,0.14,1.76,49.61
34599,105,1583,88.01,12.94,0.10,1.31,49.60
34871,105,1583,91.66,12.95,0.05,0.71,49.60
35141,105,1583,92.22,12.95,0.06,0.84,49.60
35411,105,1583,93.16,12.96,0.09,1.15,49.59
35683,105,1583,90.75,12.96,0.04,0.56,49.59
35953,105,1583,90.44,12.97,0.02,0.32,49.57
36224,105,1583,91.10,12.97,0.04,0.49,49.57
36495,105,1583,91.11,12.97,0.07,0.93,49.57
36765,105,1583,91.78,12.97,0.07,0.85,49.57
37036,105,1583,90.74,12.98,0.06,0.77,49.56
37307,105,1583,89.79,12.98,0.04,0.51,49.47
37577,105,1583,88.30,12.98,0.03,0.37,49.47
37849,105,1583,90.43,12.98,0.07,0.92,49.48
38119,105,1583,89.76,12.98,0.03,0.45,49.53
38389,105,1583,93.60,12.98,-0.00,-0.06,49.53
38661,105,1583,109.60,12.99,0.03,0.43,49.52
38931,105,1583,91.71,12.99,0.02,0.30,49.53
39201,105,1583,91.02,12.99,-0.02,-0.20,49.54
39473,105,1583,91.05,12.99,-0.01,-0.08,49.53
39743,105,1583,92.30,12.99,0.02,0.23,49.53
40013,105,1583,90.73,12.99,0.04,0.50,49.54
40285,105,1583,91.24,13.00,0.05,0.65,49.54
40555,105,1583,91.01,13.00,0.08,0.98,49.54
40825,105,1583,90.75,13.00,0.08,0.99,49.54
41097,105,1583,90.86,13.00,0.04,0.51,49.53
41367,105,1583,90.55,13.00,0.07,0.86,49.54
41637,105,1583,91.28,13.00,0.09,1.16,49.52
41909,105,1583,91.27,13.00,0.07,0.96,49.47
42179,105,1583,91.97,13.00,0.08,1.07,49.47
42449,105,1583,92.35,13.00,0.04,0.58,49.46
42721,105,1583,114.57,13.00,0.06,0.73,49.46
42991,105,1583,90.84,13.00,0.02,0.28,49.46
43261,105,1583,93.47,13.00,-0.05,-0.61,49.45
43533,105,1583,91.10,13.00,-0.03,-0.44,49.45
43803,105,1583,90.73,13.00,-0.06,-0.77,49.45
