Time_ms,Angle,PWM_us,Thrust_g,Voltage_V,Current_A,Power_W,Temp_C
5125,90,1000,-0.58,13.00,-0.29,-3.76,27.83
5278,90,1500,-38.41,12.99,-0.25,-3.18,27.81
5550,90,1500,7.73,12.99,-0.24,-3.14,27.82
5820,90,1500,2.36,12.99,-0.24,-3.11,27.82
6091,90,1500,1.40,12.99,-0.24,-3.08,27.82
6362,90,1500,0.56,12.99,-0.23,-3.05,27.82
6633,90,1500,0.20,12.99,-0.24,-3.12,27.82
6903,90,1500,1.20,12.99,-0.24,-3.09,27.82
7175,90,1500,3.07,12.99,-0.24,-3.06,27.82
7445,90,1500,-0.87,12.99,-0.24,-3.13,27.82
7716,90,1500,0.23,12.99,-0.24,-3.10,27.82
7987,90,1500,-0.03,12.99,-0.25,-3.26,27.82
8258,90,1500,-0.17,12.99,-0.25,-3.21,27.82
8528,90,1500,0.14,12.99,-0.24,-3.17,27.82
8800,90,1500,0.07,12.99,-0.24,-3.14,27.82
9070,90,1500,-0.20,12.99,-0.23,-3.01,27.82
9341,90,1500,0.31,12.99,-0.23,-2.98,27.82
9612,90,1500,-0.09,12.99,-0.22,-2.87,27.83
9883,90,1500,0.01,12.99,-0.22,-2.86,27.83
10153,90,1500,0.13,12.99,-0.23,-2.95,27.83
10425,90,1500,0.12,12.99,-0.23,-2.94,27.83
10695,90,1500,-0.30,12.99,-0.24,-3.12,27.83
10967,90,1500,0.18,12.99,-0.24,-3.08,27.83
11237,90,1500,-0.05,12.99,-0.24,-3.06,27.83
11507,90,1500,0.17,12.99,-0.23,-3.03,27.83
11779,90,1500,-0.32,12.99,-0.25,-3.30,27.83
12049,90,1500,0.46,12.99,-0.25,-3.25,27.83
12320,90,1500,-0.05,12.99,-0.25,-3.30,27.83
12591,90,1500,-0.07,12.99,-0.25,-3.25,27.83
12862,90,1500,0.22,12.99,-0.25,-3.20,27.83
13132,90,1500,0.19,12.99,-0.24,-3.16,27.84
13404,90,1500,-0.10,12.99,-0.25,-3.22,27.84
13674,90,1500,0.07,12.99,-0.25,-3.27,27.85
13945,90,1500,1.01,12.99,-0.26,-3.32,27.86
14216,90,1500,1.15,12.99,-0.25,-3.27,27.87
14487,90,1500,-0.25,12.99,-0.26,-3.32,27.88
14757,90,1500,-0.03,12.99,-0.27,-3.46,27.89
15299,91,1505,0.21,12.99,-0.27,-3.53,27.90
15570,91,1505,0.17,12.99,-0.27,-3.55,27.91
15841,91,1505,-0.44,12.99,-0.27,-3.57,27.90
16112,91,1505,0.08,12.99,-0.28,-3.59,27.91
16382,91,1505,0.37,12.99,-0.26,-3.42,27.91
16654,91,1505,-0.48,12.99,-0.27,-3.45,27.92
16924,91,1505,0.26,12.99,-0.27,-3.48,27.92
17196,91,1505,0.18,12.99,-0.26,-3.41,27.93
17466,91,1505,-0.15,12.99,-0.26,-3.35,27.93
17736,91,1505,0.15,12.99,-0.26,-3.39,27.93
18008,91,1505,0.00,12.99,-0.26,-3.43,27.94
18278,91,1505,0.04,12.99,-0.25,-3.27,27.94
18549,91,1505,0.10,12.99,-0.25,-3.22,27.94
18820,91,1505,-0.06,12.99,-0.25,-3.28,27.94
19091,91,1505,-0.10,12.99,-0.26,-3.42,27.95
19361,91,1505,-0.00,12.99,-0.26,-3.36,27.95
19633,91,1505,-0.03,12.99,-0.26,-3.40,27.95
19903,91,1505,0.14,12.99,-0.26,-3.43,27.95
20174,91,1505,-0.13,12.99,-0.27,-3.47,27.95
20445,91,1505,-0.15,12.99,-0.27,-3.50,27.95
20716,91,1505,0.35,12.99,-0.28,-3.62,27.95
20986,91,1505,-0.28,12.99,-0.28,-3.63,27.96
21258,91,1505,2.31,12.99,-0.28,-3.65,27.96
21528,91,1505,0.01,12.99,-0.27,-3.56,27.96
21799,91,1505,-0.49,12.99,-0.28,-3.58,27.96
